transaction_id,account_id,amount,tx_type,timestamp,status,merchant,category
TXN_000001,ACC_00003,23460.82,credit,2024-12-27 00:00:00,completed,Knight PLC,healthcare
TXN_000002,ACC_00312,27444.72,,2024-03-17 00:00:00,completed,"Brennan, Thomas and Dennis",entertainment
TXN_000003,ACC_00025,15064.55,debit,2024-05-01 00:00:00,completed,Williams-Juarez,fuel
TXN_000004,ACC_00256,5551.79,payment,2024-02-02 00:00:00,completed,Brown LLC,healthcare
TXN_000005,ACC_00001,14570.69,payment,2024-03-14 00:00:00,completed,Williams and Sons,restaurant
TXN_000006,ACC_00044,33221.92,payment,2024-04-05 00:00:00,reversed,"Velez, Ward and Harrison",electronics
TXN_000007,ACC_00260,27208.66,payment,2024-09-26 00:00:00,completed,Keith-Williams,fuel
TXN_000008,ACC_00192,31787.18,transfer,2024-01-23 00:00:00,completed,"Nguyen, Padilla and Boyd",utilities
TXN_000009,ACC_00054,17246.68,payment,2024-02-04 00:00:00,completed,Davenport-Baker,utilities
TXN_000010,ACC_00280,2226.34,transfer,2024-03-09 00:00:00,pending,"Hudson, Bennett and Gray",travel
TXN_000011,ACC_00246,23236.5,debit,2024-12-16 00:00:00,pending,"Valdez, Houston and Black",electronics
TXN_000012,ACC_00104,1858.82,credit,2024-08-22 00:00:00,pending,Kaufman-Walker,groceries
TXN_000013,ACC_00264,46669.22,withdrawal,2024-06-10 00:00:00,reversed,Gomez-Parrish,fuel
TXN_000014,ACC_00098,1840.67,transfer,2024-05-09 00:00:00,completed,Sparks-Eaton,groceries
TXN_000015,ACC_00064,16602.92,transfer,2024-12-01 00:00:00,completed,Shaw and Sons,restaurant
TXN_000016,ACC_00198,44732.93,transfer,2024-08-13 00:00:00,reversed,Martin-Jones,fuel
TXN_000017,ACC_00266,24881.19,transfer,2024-12-20 00:00:00,pending,"Campbell, Hernandez and Moore",restaurant
TXN_000018,ACC_00093,21536.05,payment,2024-02-10 00:00:00,completed,"Love, Wilson and Hall",electronics
TXN_000019,ACC_00152,-16402.72,transfer,2024-02-10 00:00:00,completed,Cortez-Olson,restaurant
TXN_000020,ACC_00180,34491.34,withdrawal,2024-03-26 00:00:00,completed,Mendoza-Garza,utilities
TXN_000021,ACC_00141,49907.55,credit,2024-11-10 00:00:00,completed,"Whitaker, Johnson and Williams",restaurant
TXN_000022,ACC_00082,25659.17,credit,2024-07-05 00:00:00,completed,"Vargas, Taylor and Hunt",fuel
TXN_000023,ACC_00121,6320.24,transfer,2024-01-18 00:00:00,completed,"Thomas, Jackson and Nielsen",groceries
TXN_000024,ACC_00231,7680.37,transfer,2024-11-05 00:00:00,completed,"Mullen, Greene and Elliott",electronics
TXN_000025,ACC_00188,6893.38,withdrawal,2024-10-20 00:00:00,completed,Johns Ltd,entertainment
TXN_000026,ACC_00014,48026.4,debit,2024-05-07 00:00:00,completed,"Nicholson, Valentine and Robinson",restaurant
TXN_000027,ACC_00134,5896.87,withdrawal,2024-10-14 00:00:00,completed,"Haney, Dillon and Jackson",entertainment
TXN_000028,ACC_00252,45824.78,debit,2024-12-21 00:00:00,completed,Burke-Norton,electronics
TXN_000029,ACC_00228,8641.09,credit,2024-08-19 00:00:00,pending,Hanson PLC,utilities
TXN_000030,ACC_00034,17377.79,payment,2024-12-07 00:00:00,completed,Jackson-Jennings,entertainment
TXN_000031,ACC_00090,35593.34,transfer,2024-03-21 00:00:00,completed,Carlson-Jones,electronics
TXN_000032,ACC_00122,39605.36,withdrawal,2024-04-12 00:00:00,completed,Cruz-Rodriguez,utilities
TXN_000033,ACC_00283,40185.05,debit,2024-08-27 00:00:00,completed,Mills PLC,electronics
TXN_000034,ACC_00246,15471.44,payment,2024-02-03 00:00:00,completed,"Barnes, Hernandez and Davis",restaurant
TXN_000035,ACC_00163,3696.8,credit,2024-10-21 00:00:00,completed,Valenzuela-Greene,utilities
TXN_000036,ACC_00283,43899.23,payment,2024-03-06 00:00:00,completed,"Gordon, Wilson and Olson",travel
TXN_000037,ACC_00029,25148.16,credit,2024-08-09 00:00:00,completed,Winters PLC,entertainment
TXN_000038,ACC_00116,8106.73,transfer,2024-03-25 00:00:00,failed,Prince Ltd,entertainment
TXN_000039,ACC_00283,12537.76,transfer,2024-02-10 00:00:00,completed,"Reynolds, Fisher and Golden",entertainment
TXN_000040,ACC_00258,26678.57,debit,2024-11-10 00:00:00,completed,"Moreno, Perez and Lang",travel
TXN_000041,ACC_00310,32940.06,transfer,2024-03-28 00:00:00,pending,Bell-Ballard,groceries
